School Name,LAT,LNG,School Type,City,County,5 DTaP,4 Polio,2 MMR,3 Hep B,Immunity to Chickenpox,Series,Exemption
WALES ELEMENTARY,42.0714838,-72.2225785,Public,WALES,Hampden, , , , , , , 
BLESSED SACRAMENT,42.1468,-71.2452,Private,WALPOLE,Norfolk,79%,85%,76%,94%,79%,76%,5.90%
BOYDEN ELEMENTARY,42.1058428,-71.2588301,Public,WALPOLE,Norfolk,*,*,*,*,*,*,*
ELM ST SCHOOL,42.1540075,-71.2674419,Public,WALPOLE,Norfolk,98%,98%,98%,98%,98%,98%,1.70%
FISHER ELEMENTARY SCHOOL,42.1417442,-71.2495096,Public,WALPOLE,Norfolk,97%,99%,99%,99%,99%,97%,1.30%
LEAGUE SCHOOL,42.149311,-71.2122654,Private,WALPOLE,Norfolk, , , , , , , 
DOUGLAS MACARTHUR,42.404039,-71.2500081,Public,WALTHAM,Middlesex,95%,97%,97%,97%,97%,94%,0%
HENRY WHITTEMORE ELEMENTARY,42.3649238,-71.2296117,Public,WALTHAM,Middlesex,89%,67%,96%,87%,97%,49%,1.30%
JAMES FITZGERALD ELEMENTARY,42.3805924,-71.209654,Public,WALTHAM,Middlesex,100%,100%,100%,100%,100%,100%,0%
NORTHEAST SCHOOL,42.4030648,-71.2238255,Public,WALTHAM,Middlesex,97%,96%,95%,99%,96%,91%,2.70%
OUR LADY'S ACADEMY,42.4087504,-71.2299557,Private,WALTHAM,Middlesex,100%,100%,100%,100%,100%,100%,0%
ST JUDE ELEMENTARY,42.3764852,-71.2356113,Private,WALTHAM,Middlesex, , , , , , , 
THOMAS R PLYMPTON SCHOOL,42.3820538,-71.2427041,Public,WALTHAM,Middlesex,96%,100%,99%,99%,96%,95%,0%
WILLIAM STANLEY ELEMENTARY,42.3673647,-71.251826,Public,WALTHAM,Middlesex,97%,99%,99%,97%,97%,96%,1.40%
ST MARYS,42.2559258,-72.2392464,Private,WARE,Hampshire, , , , , , , 
STANLEY M KOZIOL SCHOOL,42.2518147,-72.2624807,Public,WARE,Hampshire,94%,97%,98%,98%,98%,93%,1.10%
JOHN WILLIAM DECAS SCHOOL,41.7709716,-70.7465404,Public,WAREHAM,Plymouth,90%,92%,90%,94%,90%,88%,0.40%
WARWICK COMMUNITY SCHOOL,42.6867547,-72.3400439,Public,WARWICK,Franklin, , , , , , , 
ATRIUM SCHOOL,42.3693923,-71.1531882,Private,WATERTOWN,Middlesex, , , , , , , 
CUNNIFF,42.3767013,-71.1992683,Public,WATERTOWN,Middlesex,98%,98%,100%,100%,100%,98%,0%
HOSMER-EAST,42.3672846,-71.1672839,Public,WATERTOWN,Middlesex,93%,97%,99%,100%,99%,93%,1.10%
JAMES RUSSELL LOWELL,42.3769846,-71.1835255,Public,WATERTOWN,Middlesex,93%,97%,99%,100%,99%,93%,1.30%
JEWISH COMMUNITY DAY SCHOOL,42.3683171,-71.2095837,Private,WATERTOWN,Middlesex, , , , , , , 
PERKINS SCHOOL FOR THE BLIND,42.3609588,-71.1753024,Private,WATERTOWN,Middlesex, , , , , , , 
ST STEPHENS ARMENIAN SCHOOL,42.3682021,-71.1584458,Private,WATERTOWN,Middlesex, , , , , , , 
CLAYPIT HILL SCHOOL,42.3731583,-71.3447739,Public,WAYLAND,Middlesex,92%,96%,93%,92%,90%,92%,2.70%
HAPPY HOLLOW,42.3367099,-71.3626183,Public,WAYLAND,Middlesex,100%,100%,100%,100%,100%,100%,0%
LOKER SCHOOL,42.3296466,-71.3469139,Public,WAYLAND,Middlesex,100%,100%,100%,100%,100%,100%,0%
VERITAS CHRISTIAN ACADEMY,42.3245109,-71.3498153,Private,WAYLAND,Middlesex, , , , , , , 
PARK AVENUE ELEMENTARY,42.0540422,-71.8669046,Public,WEBSTER,Worcester,99%,99%,99%,100%,99%,99%,1.30%
ST ANNE SCHOOL,42.0557171,-71.8773881,Private,WEBSTER,Worcester, , , , , , , 
ST JOSEPH,42.049281,-71.878309,Private,WEBSTER,Worcester, , , , , , , 
ST LOUIS,42.049281,-71.878309,Private,WEBSTER,Worcester, , , , , , , 
EARNEST F UPHAM ELEMENTARY,42.296797,-71.2923877,Public,WELLESLEY,Norfolk,94%,100%,100%,100%,100%,92%,0%
HUNNEWELL,42.2955532,-71.2898392,Public,WELLESLEY,Norfolk,98%,100%,100%,100%,100%,98%,0%
JOHN D HARDY SCHOOL,42.3039855,-71.3117243,Public,WELLESLEY,Norfolk,100%,100%,100%,100%,100%,98%,0%
JOSEPH E FISKE,42.3128738,-71.2476769,Public,WELLESLEY,Norfolk,96%,95%,98%,96%,96%,95%,1.80%
KATHARINE LEE BATES SCHOOL,42.3125965,-71.3153356,Public,WELLESLEY,Norfolk,96%,96%,100%,100%,100%,92%,0%
SCHOFIELD ELEMENTARY,42.3205592,-71.2539428,Public,WELLESLEY,Norfolk,98%,100%,100%,100%,100%,98%,0%
SPRAGUE ELEMENTARY,42.304492,-71.2975843,Public,WELLESLEY,Norfolk,100%,100%,100%,100%,100%,100%,0%
ST JOHN THE EVANGELIST,42.3247622,-71.2624398,Private,WELLESLEY,Norfolk,73%,85%,85%,100%,83%,73%,1.70%
ST PAUL SCHOOL,42.2981573,-71.2875601,Private,WELLESLEY,Norfolk, , , , , , , 
TENACRE COUNTRY DAY SCHOOL,42.288037,-71.2861423,Private,WELLESLEY,Norfolk, , , , , , , 
WELLFLEET ELEMENTARY,41.941522,-70.0229799,Public,WELLFLEET,Barnstable, , , , , , , 
BESSIE BUKER ELEMENTARY,42.6086316,-70.8852602,Public,WENHAM,Essex,98%,98%,98%,98%,98%,98%,2.40%
NOTRE DAME CHILDRENS CLASS,42.596004,-70.84714,Private,WENHAM,Essex, , , , , , , 
VERITAS ACADEMY,41.6770017,-70.3697722,Private,WEST BARNSTABLE,Barnstable, , , , , , , 
WEST BARNSTABLE ELEMENTARY,41.6987314,-70.3269705,Public,WEST BARNSTABLE,Barnstable,100%,100%,100%,100%,100%,100%,0%
MAJOR EDWARDS ELEMENTARY,42.3723552,-71.7869621,Public,WEST BOYLSTON,Worcester,96%,100%,98%,100%,98%,96%,0%
NEW ENGLAND BAPTIST ACADEMY,42.0339625,-71.0094237,Private,WEST BRIDGEWATER,Plymouth, , , , , , , 
SPRING ST SCHOOL,42.0201005,-71.011155,Public,WEST BRIDGEWATER,Plymouth,99%,100%,97%,99%,97%,97%,0%
WARREN SDA SCHOOL,42.1800079,-72.162249,Private,WEST BROOKFIELD,Worcester, , , , , , , 
WEST BROOKFIELD ELEMENTARY,42.238759,-72.1341509,Public,WEST BROOKFIELD,Worcester,97%,100%,97%,97%,97%,92%,7.90%
EZRA H BAKER,41.6685119,-70.152619,Public,WEST DENNIS,Barnstable,97%,99%,99%,99%,98%,96%,2.20%
CHILDRENS CASTLE INC,42.8076079,-70.9612206,Private,WEST NEWBURY,Essex, , , , , , , 
DR JOHN C PAGE ELEMENTARY,42.8085161,-70.9615606,Public,WEST NEWBURY,Essex,98%,98%,98%,94%,98%,96%,6.00%
FESSENDEN SCHOOL,42.3578291,-71.2198556,Private,WEST NEWTON,Middlesex, , , , , , , 
FRANKLIN,42.3500962,-71.1821692,Public,WEST NEWTON,Middlesex,99%,96%,99%,99%,99%,99%,1.30%
PEIRCE,42.320986,-71.2908964,Public,WEST NEWTON,Middlesex,96%,100%,100%,98%,100%,94%,0%
BEETHOVEN,42.2635282,-71.1558837,Public,WEST ROXBURY,Suffolk,74%,81%,62%,97%,49%,57%,0%
HOLY NAME SCHOOL,42.2883911,-71.1482916,Private,WEST ROXBURY,Suffolk,100%,100%,100%,98%,98%,98%,0%
JOYCE KILMER,42.2718788,-71.162585,Public,WEST ROXBURY,Suffolk,93%,93%,93%,89%,89%,93%,0%
LYNDON SCHOOL,42.2931535,-71.1522752,Public,WEST ROXBURY,Suffolk,98%,98%,100%,100%,100%,98%,0%
ST THERESA SCHOOL,42.2781213,-71.1579923,Private,WEST ROXBURY,Suffolk,100%,97%,100%,100%,100%,97%,0%
JOHN ASHLEY,42.1070383,-72.6203675,Public,WEST SPRINGFIELD,Hampden,96%,98%,98%,99%,99%,94%,1.20%
MAY CENTER FOR CHILD DEVELOPMENT,42.1028805,-72.6087533,Private,WEST SPRINGFIELD,Hampden, , , , , , , 
MONTESSORI CHILDRENS HOUSE,42.1109272,-72.6189785,Private,WEST SPRINGFIELD,Hampden, , , , , , , 
PHIILIP G COBURN SCHOOL,42.1070383,-72.6203675,Public,WEST SPRINGFIELD,Hampden,74%,79%,95%,95%,95%,76%,3.20%
ST THOMAS THE APOSTLE,42.1056907,-72.6410357,Private,WEST SPRINGFIELD,Hampden,88%,94%,94%,97%,91%,85%,0%
MARTHA'S VINEYARD CHARTER,41.4190896,-70.6644034,Public,WEST TISBURY,Dukes, , , , , , , 
WEST TISBURY SCHOOL,41.403136,-70.662105,Public,WEST TISBURY,Dukes,95%,95%,95%,92%,95%,89%,8.10%
WARREN ELEMENTARY,42.19097,-72.2233142,Public,WEST WARREN,Worcester,97%,97%,98%,100%,95%,94%,1.60%
MARGUERITE E SMALL ELEMENTARY,41.6735674,-70.246088,Public,WEST YARMOUTH,Barnstable,91%,96%,98%,100%,100%,91%,0%
ANNIE E FALES SCHOOL,42.2504016,-71.6217628,Public,WESTBORO,Worcester,97%,96%,99%,99%,99%,96%,1.30%
ELISE A HASTINGS SCHOOL,42.2695216,-71.6161294,Public,WESTBORO,Worcester,94%,98%,100%,100%,100%,91%,0%
J HARDING ARMSTRONG,42.2698165,-71.6231223,Public,WESTBORO,Worcester,99%,98%,99%,99%,99%,98%,1.00%
ABNER GIBBS,42.1142598,-72.7537049,Public,WESTFIELD,Hampden,97%,97%,100%,100%,100%,97%,0%
COMMUNITY CHRISTIAN SCHOOL,42.1104879,-72.748947,Private,WESTFIELD,Hampden, , , , , , , 
FRANKLIN AVE SCHOOL,42.1292594,-72.7578717,Public,WESTFIELD,Hampden,94%,94%,94%,94%,94%,94%,5.60%
HIGHLAND SCHOOL,42.1194357,-72.7689676,Public,WESTFIELD,Hampden,74%,80%,79%,82%,70%,66%,13.20%
JUNIPER PARK,42.1321123,-72.7997128,Public,WESTFIELD,Hampden,93%,95%,90%,100%,90%,90%,9.50%
MUNGER HILL ELEMENTARY,42.09731,-72.733408,Public,WESTFIELD,Hampden,98%,100%,100%,100%,100%,100%,0%
PAPER MILL SCHOOL,42.1286593,-72.7040632,Public,WESTFIELD,Hampden,99%,99%,99%,100%,99%,99%,1.40%
SOUTHAMPTON ROAD,42.1661432,-72.7265309,Public,WESTFIELD,Hampden,94%,95%,97%,97%,97%,94%,4.50%
ST MARYS SCHOOL,42.124594,-72.7462922,Private,WESTFIELD,Hampden, , , , , , , 
COL JOHN ROBINSON ELEMENTARY,42.5700914,-71.4642307,Public,WESTFORD,Middlesex,98%,100%,100%,98%,98%,97%,3.20%
NABNASSET ELEMENTARY,42.6089,-71.4218999,Public,WESTFORD,Middlesex,94%,95%,99%,99%,99%,94%,0.90%
NEXT GENERATION CHILDREN'S CTR,42.5545911,-71.4396946,Private,WESTFORD,Middlesex, , , , , , , 
RITA MILLER ELEMENTARY,42.6416152,-71.4316151,Public,WESTFORD,Middlesex,93%,93%,98%,99%,96%,91%,1.00%
WESTHAMPTON ELEMENTARY,42.3171428,-72.7673678,Public,WESTHAMPTON,Hampshire, , , , , , , 
CAPS COLLABORATIVE SCHOOL,42.5459227,-71.9106308,Private,WESTMINSTER,Worcester, , , , , , , 
MEETINGHOUSE ELEMENTARY,42.5442561,-71.9111864,Public,WESTMINSTER,Worcester,100%,100%,100%,97%,97%,97%,2.70%
COUNTRY ELEMENTARY,42.3667625,-71.3031132,Public,WESTON,Middlesex,99%,100%,100%,100%,99%,99%,0%
MEADOWBROOK SCHOOL OF WESTON,42.3541119,-71.272057,Private,WESTON,Middlesex, , , , , , , 
WOODLAND,42.333374,-71.244301,Public,WESTON,Middlesex,99%,100%,100%,100%,100%,99%,0%
ALICE A MACOMBER,41.6526334,-71.082419,Public,WESTPORT,Bristol,99%,99%,99%,99%,99%,99%,0.90%
MONTESSORI SCHOOL OF THE ANGELS,41.6362259,-71.0511785,Private,WESTPORT,Bristol, , , , , , , 
DEERFIELD SCHOOL,42.2262106,-71.2195683,Public,WESTWOOD,Norfolk,100%,100%,100%,100%,100%,100%,0%
DOWNEY SCHOOL,42.2139873,-71.2244987,Public,WESTWOOD,Norfolk, , , , , , , 
MARTHA JONES SCHOOL,42.2001052,-71.2349773,Public,WESTWOOD,Norfolk,100%,100%,100%,100%,100%,100%,0%
PAUL HANLON,42.2265074,-71.1915135,Public,WESTWOOD,Norfolk,100%,97%,100%,97%,100%,97%,0%
WILLIAM E SHEEHAN SCHOOL,42.207584,-71.23625,Public,WESTWOOD,Norfolk,100%,100%,100%,100%,100%,98%,0%
ACADEMY AVE SCHOOL,42.2206785,-70.9424591,Public,WEYMOUTH,Norfolk,98%,100%,100%,100%,100%,98%,0%
FREDERICK MURPHY SCHOOL,42.2180724,-70.9410356,Public,WEYMOUTH,Norfolk,100%,100%,100%,100%,100%,100%,0%
LAWRENCE W PINGREE,42.2177338,-70.9251932,Public,WEYMOUTH,Norfolk,95%,95%,95%,95%,95%,95%,5.00%
SACRED HEART ELEMENTARY,42.2200532,-70.9666639,Private,WEYMOUTH,Norfolk, , , , , , , 
SOUTH SHORE CHRISTIAN ACADEMY,42.2147962,-70.9651131,Private,WEYMOUTH,Norfolk,*,*,*,*,*,*,*
THOMAS V NASH SCHOOL,42.1862112,-70.9578236,Public,WEYMOUTH,Norfolk,98%,100%,98%,100%,95%,95%,4.90%
WM. SEACH SCHOOL,42.1966941,-70.9441084,Public,WEYMOUTH,Norfolk,100%,100%,100%,100%,100%,100%,0%
WHATELY ELEMENTARY,42.4507324,-72.6097503,Public,WHATELY,Franklin, , , , , , , 
NORTHBRIDGE ELEMENTARY SCHOOL,42.110675,-71.6601167,Public,WHITINSVILLE,Worcester,95%,95%,90%,99%,89%,89%,0.50%
WHITINSVILLE CHRISTIAN SCHOOL,42.1062076,-71.6536779,Private,WHITINSVILLE,Worcester,92%,94%,92%,94%,92%,86%,8.30%
HOPE CHRISTIAN SCHOOL,42.0839349,-70.9197632,Private,WHITMAN,Plymouth, , , , , , , 
JOHN H DUVAL SCHOOL,42.0872459,-70.9174469,Public,WHITMAN,Plymouth,100%,100%,100%,99%,99%,97%,1.50%
LOUISE A CONLEY SCHOOL,42.0837858,-70.9522833,Public,WHITMAN,Plymouth,96%,100%,100%,100%,100%,96%,0%
MILE TREE ELEMENTARY,42.1121564,-72.4353561,Public,WILBRAHAM,Hampden,98%,98%,98%,98%,98%,98%,2.30%
WILLIAMSBURG ELEMENTARY,42.3927234,-72.7304975,Public,WILLIAMSBURG,Hampshire, , , , , , , 
PINE COBBLE SCHOOL,42.6945883,-73.2069166,Private,WILLIAMSTOWN,Berkshire, , , , , , , 
WILLIAMSTOWN ELEMENTARY,42.7156195,-73.1968685,Public,WILLIAMSTOWN,Berkshire,95%,98%,98%,98%,97%,2%,0%
ABUNDANT LIFE CHRISTIAN,42.5567591,-71.1646471,Private,WILMINGTON,Middlesex, , , , , , , 
BOUTWELL SCHOOL,42.5467555,-71.188433,Public,WILMINGTON,Middlesex,99%,100%,99%,100%,99%,98%,1.00%
WILDWOOD SCHOOL,42.5507363,-71.1536477,Public,WILMINGTON,Middlesex,100%,100%,100%,100%,100%,98%,0%
MEMORIAL SCHOOL,42.6963492,-72.0400937,Public,WINCHENDON,Worcester,99%,99%,99%,99%,99%,99%,1.10%
ACERA SCHOOL,42.4663408,-71.1340743,Private,WINCHESTER,Middlesex, , , , , , , 
AMBROSE ELEMENTARY,42.4456653,-71.1562702,Public,WINCHESTER,Middlesex,100%,99%,100%,97%,100%,97%,0%
CHILDRENS OWN SCHOOL,42.4389867,-71.1332605,Private,WINCHESTER,Middlesex,*,*,*,*,*,*,*
CREATIVE CORNER SCHOOL,42.452303,-71.1369959,Private,WINCHESTER,Middlesex,*,*,*,*,*,*,*
FRANCIS J MURACO ELEMENTARY,42.452303,-71.1369959,Public,WINCHESTER,Middlesex,98%,98%,100%,100%,100%,98%,0%
LINCOLN ELEMENTARY,42.4512529,-71.1346396,Public,WINCHESTER,Middlesex,100%,98%,100%,100%,100%,98%,0%
LYNCH ELEMENTARY,42.4609372,-71.1507347,Public,WINCHESTER,Middlesex,99%,99%,99%,97%,97%,97%,2.70%
ST MARYS SCHOOL,42.4551756,-71.132111,Private,WINCHESTER,Middlesex,95%,98%,95%,98%,95%,95%,2.30%
VINSON OWEN ELEMENTARY,42.4498272,-71.1749754,Public,WINCHESTER,Middlesex,98%,100%,98%,98%,98%,98%,0%
FORT BANKS ELEMENTARY,42.3853384,-70.9802877,Public,WINTHROP,Suffolk,98%,99%,100%,100%,99%,97%,1.90%
CLYDE REEVES ELEMENTARY,42.4792618,-71.1522765,Public,WOBURN,Middlesex,100%,100%,100%,100%,100%,100%,0%
DANIEL HURLD SCHOOL,42.485095,-71.1667214,Public,WOBURN,Middlesex,100%,100%,100%,100%,100%,100%,0%
GOODYEAR ELEMENTARY,42.4792618,-71.1522765,Public,WOBURN,Middlesex,96%,100%,100%,100%,100%,96%,0%
LINSCOTT-RUMFORD,42.5076724,-71.1617951,Public,WOBURN,Middlesex,97%,97%,100%,100%,100%,97%,0%
MALCOLM WHITE ELEMENTARY,42.4845937,-71.1416541,Public,WOBURN,Middlesex,100%,98%,98%,100%,98%,98%,1.70%
MARY D ALTAVESTA,42.5138909,-71.1623043,Public,WOBURN,Middlesex,96%,100%,100%,98%,100%,94%,0%
MAY INSTITUTE,42.4792618,-71.1522765,Private,WOBURN,Middlesex, , , , , , , 
SHAMROCK,42.5016723,-71.1880631,Public,WOBURN,Middlesex,100%,100%,100%,100%,100%,97%,0%
ST CHARLES ELEMENTARY,42.47693,-71.1510621,Private,WOBURN,Middlesex, , , , , , , 
WYMAN SCHOOL,42.4920393,-71.1533878,Public,WOBURN,Middlesex,100%,100%,100%,100%,100%,100%,0%
ABBY KELLEY FOSTER REG CHARTER SCH,42.2625932,-71.8022934,Public,WORCESTER,Worcester,100%,100%,100%,100%,100%,100%,0%
ALHUDA ACADEMY,42.3154211,-71.7738832,Private,WORCESTER,Worcester, , , , , , , 
BANCROFT,42.2591029,-71.8183928,Private,WORCESTER,Worcester, , , , , , , 
BELMONT ST COMMUNITY,42.2719703,-71.7878093,Public,WORCESTER,Worcester,81%,91%,89%,98%,87%,81%,0%
BURNCOAT STREET,42.312154,-71.7891407,Public,WORCESTER,Worcester,85%,90%,90%,100%,90%,79%,0%
CANTERBURY ST SCHOOL,42.2464821,-71.8342384,Public,WORCESTER,Worcester,81%,84%,81%,94%,84%,81%,1.60%
CHANDLER ELEM. COMMUNITY SCHOOL,42.2602397,-71.8107725,Public,WORCESTER,Worcester,79%,86%,86%,99%,84%,67%,0%
CHANDLER MAGNET,42.2708773,-71.8427947,Public,WORCESTER,Worcester,95%,97%,94%,97%,94%,91%,1.30%
CITY VIEW ELEMENTARY,42.2664091,-71.7906594,Public,WORCESTER,Worcester,58%,58%,58%,100%,58%,58%,0%
CLARK ST ELEMENTARY,42.3122571,-71.7723703,Public,WORCESTER,Worcester,71%,74%,79%,98%,79%,76%,0%
COLUMBUS PARK PREP ACADEMY,42.2625932,-71.8022934,Public,WORCESTER,Worcester,82%,87%,87%,96%,85%,79%,0%
ELM PARK COMMUNITY,42.2690657,-71.8073065,Public,WORCESTER,Worcester,95%,96%,99%,96%,96%,95%,0%
F J MCGRATH ELEMENTARY,42.2851289,-71.812848,Public,WORCESTER,Worcester,93%,100%,98%,100%,95%,89%,0%
FLAGG STREET SCHOOL,42.2625932,-71.8022934,Public,WORCESTER,Worcester,100%,100%,100%,100%,100%,100%,0%
GATES LANE,42.247227,-71.843523,Public,WORCESTER,Worcester,96%,99%,98%,100%,98%,98%,2.10%
GODDARD SCHOOL OF SCIENCE & TECH,42.2625932,-71.8022934,Public,WORCESTER,Worcester,98%,100%,100%,100%,98%,98%,0%
GRAFTON STREET,42.2503495,-71.7699033,Public,WORCESTER,Worcester,84%,87%,82%,99%,82%,82%,0%
HEARD STREET SCHOOL,42.2313713,-71.8434071,Public,WORCESTER,Worcester,98%,100%,100%,100%,100%,98%,0%
JACOB HIATT MAGNET SCHOOL,42.2570485,-71.8105498,Public,WORCESTER,Worcester,100%,100%,100%,100%,100%,100%,0%
LAKE VIEW,42.2667601,-71.759237,Public,WORCESTER,Worcester,96%,100%,100%,100%,100%,96%,0%
LINCOLN STREET,42.2908536,-71.7833598,Public,WORCESTER,Worcester,96%,96%,96%,98%,96%,96%,0%
MAY STREET,42.2618432,-71.8347915,Public,WORCESTER,Worcester,92%,94%,86%,92%,86%,82%,2.00%
MIDLAND STREET,42.271734,-71.827973,Public,WORCESTER,Worcester,95%,95%,98%,98%,98%,95%,2.40%
NELSON PLACE,42.295154,-71.823004,Public,WORCESTER,Worcester,86%,91%,85%,100%,85%,84%,0%
NORRBACK AVENUE,42.328366,-71.794187,Public,WORCESTER,Worcester,99%,100%,100%,100%,100%,99%,0%
OUR LADY OF THE ANGELS,42.2432419,-71.8412911,Private,WORCESTER,Worcester, , , , , , , 
QUINSIGAMOND STREET SCHOOL,42.1900156,-71.761467,Public,WORCESTER,Worcester,94%,94%,98%,100%,99%,97%,0.90%
RICE SQUARE,42.2479303,-71.7771215,Public,WORCESTER,Worcester,78%,88%,75%,95%,64%,64%,1.70%
ROOSEVELT SCHOOL,42.2431935,-71.7571411,Public,WORCESTER,Worcester,91%,92%,96%,97%,93%,92%,1.00%
SEVEN HILLS CHARTER SCHOOL,42.26555,-71.789637,Public,WORCESTER,Worcester,97%,97%,100%,100%,100%,97%,0%
ST MARYS,42.2511252,-71.797275,Private,WORCESTER,Worcester, , , , , , , 
ST PETER CENTRAL CATHOLIC,42.3064162,-71.8241937,Private,WORCESTER,Worcester,100%,100%,100%,100%,100%,100%,0%
ST STEPHEN ELEMENTARY,42.2552902,-71.7840852,Private,WORCESTER,Worcester, , , , , , , 
SUMMIT ACADEMY,42.2833038,-71.8280268,Private,WORCESTER,Worcester, , , , , , , 
TATNUCK ELEMENTARY,42.2787785,-71.8509377,Public,WORCESTER,Worcester,95%,97%,100%,98%,100%,93%,1.70%
THORNDYKE ROAD,42.3022909,-71.7872703,Public,WORCESTER,Worcester,100%,100%,98%,100%,98%,98%,1.90%
UNION HILL,42.2531218,-71.7889374,Public,WORCESTER,Worcester,100%,100%,100%,100%,100%,100%,0%
VENERINI ACADEMY,42.2698392,-71.7916407,Private,WORCESTER,Worcester,100%,100%,100%,100%,100%,100%,0%
VERNON HILL,42.2445457,-71.794868,Public,WORCESTER,Worcester,63%,75%,67%,91%,62%,67%,1.20%
WAWECUS ROAD,42.2919238,-71.789473,Public,WORCESTER,Worcester, , , , , , , 
WEST TATNUCK,42.2819371,-71.8630625,Public,WORCESTER,Worcester,100%,100%,100%,100%,100%,100%,0%
WOODLAND ACADEMY,42.2545404,-71.8185369,Public,WORCESTER,Worcester,70%,71%,73%,87%,70%,56%,0.90%
WORCESTER ARTS MAGNET SCHOOL,42.3039306,-71.7751377,Public,WORCESTER,Worcester,98%,100%,100%,100%,100%,98%,0%
R H CONWELL COMMUNITY EDUCATION CTR,42.4000113,-72.9377417,Private,WORTHINGTON,Hampshire, , , , , , , 
DELANEY SCHOOL,42.060569,-71.3259194,Public,WRENTHAM,Norfolk,97%,97%,98%,97%,98%,96%,0.90%
